City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
148,Chibuto,MZ,2021-10-02 15:39:50,-24.6867,33.5306,85.51,27,80,3.83
149,Grand Gaube,MU,2021-10-02 15:39:50,-20.0064,57.6608,74.37,69,4,7.0
150,Bambous Virieux,MU,2021-10-02 15:39:51,-20.3428,57.7575,74.21,78,75,17.27
151,Belmonte,BR,2021-10-02 15:39:06,-15.8631,-38.8828,84.2,63,27,13.42
152,Mapiripan,CO,2021-10-02 15:39:51,2.8892,-72.1256,87.31,60,58,6.62
153,Luderitz,NA,2021-10-02 15:39:51,-26.6481,15.1594,63.07,58,0,31.7
154,Chokurdakh,RU,2021-10-02 15:39:52,70.6333,147.9167,3.67,97,25,4.52
155,Iqaluit,CA,2021-10-02 15:39:52,63.7506,-68.5145,35.33,69,40,3.0
156,Hasaki,JP,2021-10-02 15:39:52,35.7333,140.8333,68.4,75,57,5.66
157,Humaita,BR,2021-10-02 15:39:53,-7.5061,-63.0208,99.86,33,25,3.53
158,Emborion,GR,2021-10-02 15:39:53,40.4833,21.55,61.16,53,1,1.9
159,Cidreira,BR,2021-10-02 15:39:53,-30.1811,-50.2056,66.87,67,79,8.86
160,Kamaishi,JP,2021-10-02 15:39:53,39.2667,141.8833,60.17,81,55,8.19
161,Scarborough,GB,2021-10-02 15:39:54,54.2797,-0.4044,54.54,89,100,1.99
162,Fortuna,US,2021-10-02 15:36:18,40.5982,-124.1573,50.34,100,90,0.0
163,Nome,US,2021-10-02 15:39:54,64.5011,-165.4064,30.16,74,75,9.22
164,Paamiut,GL,2021-10-02 15:39:55,61.994,-49.6678,40.66,69,8,14.7
165,Sorland,NO,2021-10-02 15:39:55,67.667,12.6934,49.93,80,100,5.08
166,Henties Bay,NA,2021-10-02 15:39:55,-22.116,14.2845,60.85,81,2,14.61
167,Hami,CN,2021-10-02 15:39:56,42.8,93.45,55.6,33,100,26.37
168,Osa,RU,2021-10-02 15:39:56,57.2829,55.4567,38.28,93,64,5.37
169,Port Macquarie,AU,2021-10-02 15:39:56,-31.4333,152.9167,58.96,100,40,0.0
170,Rocha,UY,2021-10-02 15:39:56,-34.4833,-54.3333,66.94,46,0,11.14
171,Abu Samrah,SY,2021-10-02 15:39:57,35.3029,37.1841,83.5,26,0,8.32
172,Bahia Honda,CU,2021-10-02 15:39:57,22.9036,-83.1592,85.24,63,4,12.1
173,Ciudad Bolivar,VE,2021-10-02 15:39:57,8.1222,-63.5497,91.49,45,4,8.59
174,Naron,ES,2021-10-02 15:39:58,43.5167,-8.1528,69.67,93,100,21.83
175,Acapulco,MX,2021-10-02 15:39:58,16.8634,-99.8901,80.42,78,75,5.75
176,Amapa,BR,2021-10-02 15:39:58,1.0,-52.0,97.39,33,22,3.22
177,Sokol,RU,2021-10-02 15:35:01,59.4617,40.1206,44.42,78,97,1.68
178,Bolgar,RU,2021-10-02 15:39:59,54.95,49.0667,48.11,76,100,8.14
179,Bereda,ES,2021-10-02 15:39:59,43.2686,-7.5406,65.14,93,100,13.06
180,Talara,PE,2021-10-02 15:39:59,-4.5772,-81.2719,70.56,73,0,14.97
181,Yellowknife,CA,2021-10-02 15:39:06,62.456,-114.3525,46.92,94,75,5.99
182,Birjand,IR,2021-10-02 15:40:00,32.8663,59.2211,73.87,16,0,18.41
183,Chuy,UY,2021-10-02 15:40:00,-33.6971,-53.4616,64.96,53,0,8.63
184,Dudinka,RU,2021-10-02 15:37:20,69.4058,86.1778,20.48,93,94,13.49
185,Wenatchee,US,2021-10-02 15:38:28,47.4235,-120.3103,53.44,76,1,0.0
186,Kuytun,RU,2021-10-02 15:40:01,54.3419,101.5036,32.45,88,100,4.18
187,Ust-Ishim,RU,2021-10-02 15:40:01,57.6935,71.1665,33.87,96,100,6.04
188,Daru,PG,2021-10-02 15:40:02,-9.0763,143.2092,77.29,91,100,5.66
189,Barsovo,RU,2021-10-02 15:40:04,61.1667,73.1667,33.93,96,100,9.62
190,Riviere-Au-Renard,CA,2021-10-02 15:40:04,48.9957,-64.3971,50.29,95,100,8.46
191,Nata,PA,2021-10-02 15:40:05,8.3333,-80.5167,85.87,66,66,6.62
192,Encruzilhada Do Sul,BR,2021-10-02 15:40:05,-30.5439,-52.5219,68.63,53,64,4.54
193,Zhoucheng,CN,2021-10-02 15:40:05,35.9122,116.3117,72.32,80,71,8.46
194,Tautira,PF,2021-10-02 15:36:13,-17.7333,-149.15,75.0,77,25,21.45
195,Antalaha,MG,2021-10-02 15:40:06,-14.9003,50.2788,71.37,83,9,8.03
