City_ID,City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
533,533,Poroszlo,HU,2021-10-02 15:41:42,47.65,20.6667,66.15,56,56,5.5
535,535,Ibra,OM,2021-10-02 15:41:42,22.6906,58.5334,78.62,57,100,10.07
536,536,Lubao,PH,2021-10-02 15:41:43,14.9167,120.55,84.22,91,100,3.42
538,538,Half Moon Bay,US,2021-10-02 15:41:43,37.4636,-122.4286,77.47,77,1,3.44
541,541,Saint-Joseph,RE,2021-10-02 15:41:44,-21.3667,55.6167,72.21,79,33,10.29
542,542,Isla Mujeres,MX,2021-10-02 15:41:44,21.2311,-86.73100000000001,84.16,68,17,12.59
543,543,Emilio Carranza,MX,2021-10-02 15:41:45,19.9711,-96.6114,82.44,72,100,4.16
544,544,Quatre Cocos,MU,2021-10-02 15:41:45,-20.2078,57.7625,74.08,78,15,14.16
547,547,Umm Lajj,SA,2021-10-02 15:41:46,25.0213,37.2685,82.69,70,4,11.27
548,548,Casablanca,MA,2021-10-02 15:41:46,33.5928,-7.6192,80.82,65,0,13.0
550,550,Lasa,IT,2021-10-02 15:41:47,46.6166,10.7002,66.11,77,85,5.28
554,554,Syracuse,IT,2021-10-02 15:41:48,37.0881,15.2792,71.62,66,86,9.57
557,557,Auki,SB,2021-10-02 15:41:49,-8.7676,160.7034,77.23,86,81,2.57
559,559,Labuan,MY,2021-10-02 15:41:49,5.2767,115.2417,77.36,88,40,2.3
560,560,Erie,US,2021-10-02 15:37:08,42.7667,-78.6664,70.84,54,99,5.99
573,573,Vondrozo,MG,2021-10-02 15:41:54,-22.8167,47.2833,65.55,85,0,5.97
575,575,Bairiki,KI,2021-10-02 15:41:54,1.3292,172.9752,80.6,74,20,10.36
577,577,Boundiali,CI,2021-10-02 15:41:55,9.5217,-6.4869,78.01,77,100,3.15
578,578,Melfi,IT,2021-10-02 15:41:55,40.9965,15.6514,70.99,58,100,6.26
579,579,Surab,PK,2021-10-02 15:41:56,28.4914,66.2585,74.59,18,79,8.63
581,581,Yaan,NG,2021-10-02 15:41:56,7.3833,8.5667,82.45,76,83,3.4
584,584,Rongcheng,CN,2021-10-02 15:41:57,30.634,117.8517,75.97,78,0,3.8
586,586,Tecoanapa,MX,2021-10-02 15:41:58,16.5167,-98.75,84.92,68,41,3.44
588,588,Lukulu,ZM,2021-10-02 15:41:58,-14.3707,23.241999999999997,74.86,58,81,4.25
589,589,Kalmeshwar,IN,2021-10-02 15:41:59,21.2333,78.9,76.62,82,94,2.73
